Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
By Age,60 - 69 years,2020-09-16,2020-09-28,30.7,29.3,32,29.3 - 32.0,2020,Sep
By Age,70 - 79 years,2020-09-16,2020-09-28,23.5,21.5,25.6,21.5 - 25.6,2020,Sep
By Age,80 years and above,2020-09-16,2020-09-28,19.1,15.9,22.5,15.9 - 22.5,2020,Sep
By Sex,Male,2020-09-16,2020-09-28,32.7,31.8,33.6,31.8 - 33.6,2020,Sep
By Sex,Female,2020-09-16,2020-09-28,41.4,40.5,42.4,40.5 - 42.4,2020,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-16,2020-09-28,44.4,41.9,46.8,41.9 - 46.8,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-16,2020-09-28,35.6,34.9,36.2,34.9 - 36.2,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-16,2020-09-28,37.4,35.2,39.7,35.2 - 39.7,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-16,2020-09-28,30.1,27.5,32.7,27.5 - 32.7,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-16,2020-09-28,44.4,41.4,47.4,41.4 - 47.4,2020,Sep
By Education,Less than a high school diploma,2020-09-16,2020-09-28,44.6,40.1,49.1,40.1 - 49.1,2020,Sep
By Education,High school diploma or GED,2020-09-16,2020-09-28,36.7,35.2,38.2,35.2 - 38.2,2020,Sep
By Education,Some college/Associate's degree,2020-09-16,2020-09-28,39.7,38.8,40.6,38.8 - 40.6,2020,Sep
By Education,Bachelor's degree or higher,2020-09-16,2020-09-28,33.6,32.9,34.3,32.9 - 34.3,2020,Sep
National Estimate,United States,2020-09-30,2020-10-12,25.4,24.8,26,24.8 - 26.0,2020,Sep
By Age,18 - 29 years,2020-09-30,2020-10-12,39.3,37.1,41.5,37.1 - 41.5,2020,Sep
By Age,30 - 39 years,2020-09-30,2020-10-12,28.4,27.1,29.8,27.1 - 29.8,2020,Sep
By Age,40 - 49 years,2020-09-30,2020-10-12,26.4,25,28,25.0 - 28.0,2020,Sep
By Age,50 - 59 years,2020-09-30,2020-10-12,22.6,21.5,23.8,21.5 - 23.8,2020,Sep
By Age,60 - 69 years,2020-09-30,2020-10-12,19.6,18.3,21,18.3 - 21.0,2020,Sep
By Age,70 - 79 years,2020-09-30,2020-10-12,15,13.6,16.5,13.6 - 16.5,2020,Sep
By Age,80 years and above,2020-09-30,2020-10-12,10.8,8.1,14.1,8.1 - 14.1,2020,Sep
By Sex,Male,2020-09-30,2020-10-12,23.5,22.5,24.4,22.5 - 24.4,2020,Sep
By Sex,Female,2020-09-30,2020-10-12,27.2,26.5,28,26.5 - 28.0,2020,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-30,2020-10-12,31.5,28.9,34.2,28.9 - 34.2,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-30,2020-10-12,23.3,22.7,23.9,22.7 - 23.9,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-30,2020-10-12,29.2,27.1,31.4,27.1 - 31.4,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-30,2020-10-12,19,17.1,21.1,17.1 - 21.1,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-30,2020-10-12,33.6,30.4,37,30.4 - 37.0,2020,Sep
By Education,Less than a high school diploma,2020-09-30,2020-10-12,32,27.9,36.3,27.9 - 36.3,2020,Sep
By Education,High school diploma or GED,2020-09-30,2020-10-12,26.9,25.5,28.4,25.5 - 28.4,2020,Sep
By Education,Some college/Associate's degree,2020-09-30,2020-10-12,29,28.1,30,28.1 - 30.0,2020,Sep
By Education,Bachelor's degree or higher,2020-09-30,2020-10-12,19.1,18.6,19.6,18.6 - 19.6,2020,Sep
National Estimate,United States,2020-09-30,2020-10-12,32.4,31.7,33.1,31.7 - 33.1,2020,Sep
By Age,18 - 29 years,2020-09-30,2020-10-12,44.7,42.3,47,42.3 - 47.0,2020,Sep
By Age,30 - 39 years,2020-09-30,2020-10-12,38.1,36.7,39.6,36.7 - 39.6,2020,Sep
By Age,40 - 49 years,2020-09-30,2020-10-12,35.3,33.9,36.7,33.9 - 36.7,2020,Sep
By Age,50 - 59 years,2020-09-30,2020-10-12,31.1,29.8,32.4,29.8 - 32.4,2020,Sep
By Age,60 - 69 years,2020-09-30,2020-10-12,24.8,23.5,26.1,23.5 - 26.1,2020,Sep
By Age,70 - 79 years,2020-09-30,2020-10-12,18,16.5,19.7,16.5 - 19.7,2020,Sep
By Age,80 years and above,2020-09-30,2020-10-12,15,12.2,18.2,12.2 - 18.2,2020,Sep
By Sex,Male,2020-09-30,2020-10-12,28.1,27,29.2,27.0 - 29.2,2020,Sep
By Sex,Female,2020-09-30,2020-10-12,36.4,35.6,37.2,35.6 - 37.2,2020,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-30,2020-10-12,36.4,33.7,39.2,33.7 - 39.2,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-30,2020-10-12,31.6,30.9,32.4,30.9 - 32.4,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-30,2020-10-12,32.2,30.2,34.1,30.2 - 34.1,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-30,2020-10-12,24.8,22.2,27.5,22.2 - 27.5,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-30,2020-10-12,39.7,35.6,43.8,35.6 - 43.8,2020,Sep
By Education,Less than a high school diploma,2020-09-30,2020-10-12,37.8,33.6,42.2,33.6 - 42.2,2020,Sep
By Education,High school diploma or GED,2020-09-30,2020-10-12,30.8,29.1,32.6,29.1 - 32.6,2020,Sep
By Education,Some college/Associate's degree,2020-09-30,2020-10-12,35.2,34.1,36.4,34.1 - 36.4,2020,Sep
By Education,Bachelor's degree or higher,2020-09-30,2020-10-12,29.9,29.1,30.6,29.1 - 30.6,2020,Sep
National Estimate,United States,2020-09-30,2020-10-12,37.5,36.8,38.2,36.8 - 38.2,2020,Sep
By Age,18 - 29 years,2020-09-30,2020-10-12,52.8,50.5,55.1,50.5 - 55.1,2020,Sep
By Age,30 - 39 years,2020-09-30,2020-10-12,43.2,41.7,44.7,41.7 - 44.7,2020,Sep
By Age,40 - 49 years,2020-09-30,2020-10-12,39.9,38.4,41.5,38.4 - 41.5,2020,Sep
By Age,50 - 59 years,2020-09-30,2020-10-12,34.8,33.5,36.2,33.5 - 36.2,2020,Sep
By Age,60 - 69 years,2020-09-30,2020-10-12,29.5,28.2,30.9,28.2 - 30.9,2020,Sep
By Age,70 - 79 years,2020-09-30,2020-10-12,22.8,21.1,24.6,21.1 - 24.6,2020,Sep
By Age,80 years and above,2020-09-30,2020-10-12,17.9,15,21.1,15.0 - 21.1,2020,Sep
By Sex,Male,2020-09-30,2020-10-12,33.1,32.1,34.1,32.1 - 34.1,2020,Sep
By Sex,Female,2020-09-30,2020-10-12,41.6,40.8,42.4,40.8 - 42.4,2020,Sep
By Race/Hispanic ethnicity,Hispanic or Latino,2020-09-30,2020-10-12,43.5,40.9,46.1,40.9 - 46.1,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-09-30,2020-10-12,35.9,35.1,36.6,35.1 - 36.6,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-09-30,2020-10-12,39.7,37.6,41.8,37.6 - 41.8,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-09-30,2020-10-12,29.2,26.4,32,26.4 - 32.0,2020,Sep
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-09-30,2020-10-12,45.7,41.9,49.5,41.9 - 49.5,2020,Sep
By Education,Less than a high school diploma,2020-09-30,2020-10-12,43.2,39,47.5,39.0 - 47.5,2020,Sep
By Education,High school diploma or GED,2020-09-30,2020-10-12,37.1,35.5,38.8,35.5 - 38.8,2020,Sep
By Education,Some college/Associate's degree,2020-09-30,2020-10-12,40.9,39.8,42,39.8 - 42.0,2020,Sep
By Education,Bachelor's degree or higher,2020-09-30,2020-10-12,33.3,32.5,34,32.5 - 34.0,2020,Sep
National Estimate,United States,2020-10-14,2020-10-26,26,25.4,26.6,25.4 - 26.6,2020,Oct
By Age,18 - 29 years,2020-10-14,2020-10-26,39,36.8,41.2,36.8 - 41.2,2020,Oct
By Age,30 - 39 years,2020-10-14,2020-10-26,30.3,29,31.6,29.0 - 31.6,2020,Oct
By Age,40 - 49 years,2020-10-14,2020-10-26,26.3,24.9,27.7,24.9 - 27.7,2020,Oct
By Age,50 - 59 years,2020-10-14,2020-10-26,23.7,22.2,25.3,22.2 - 25.3,2020,Oct
By Age,60 - 69 years,2020-10-14,2020-10-26,20.4,19,21.9,19.0 - 21.9,2020,Oct
By Age,70 - 79 years,2020-10-14,2020-10-26,15.4,13.8,17,13.8 - 17.0,2020,Oct
By Age,80 years and above,2020-10-14,2020-10-26,13.3,9.3,18.3,9.3 - 18.3,2020,Oct
By Sex,Male,2020-10-14,2020-10-26,23.7,22.6,24.8,22.6 - 24.8,2020,Oct
By Sex,Female,2020-10-14,2020-10-26,28.1,27.3,28.9,27.3 - 28.9,2020,Oct
By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-14,2020-10-26,31.3,29.4,33.2,29.4 - 33.2,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-14,2020-10-26,24,23.3,24.7,23.3 - 24.7,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-14,2020-10-26,28.7,26.7,30.8,26.7 - 30.8,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-14,2020-10-26,23.1,20.4,26,20.4 - 26.0,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-14,2020-10-26,34.4,31.1,37.7,31.1 - 37.7,2020,Oct
By Education,Less than a high school diploma,2020-10-14,2020-10-26,33.4,29,38.1,29.0 - 38.1,2020,Oct
By Education,High school diploma or GED,2020-10-14,2020-10-26,27.4,26,28.7,26.0 - 28.7,2020,Oct
By Education,Some college/Associate's degree,2020-10-14,2020-10-26,29.6,28.6,30.7,28.6 - 30.7,2020,Oct
By Education,Bachelor's degree or higher,2020-10-14,2020-10-26,19.8,19.2,20.4,19.2 - 20.4,2020,Oct
National Estimate,United States,2020-10-14,2020-10-26,32.8,32.2,33.4,32.2 - 33.4,2020,Oct
By Age,18 - 29 years,2020-10-14,2020-10-26,44,41.8,46.3,41.8 - 46.3,2020,Oct
By Age,30 - 39 years,2020-10-14,2020-10-26,40.4,38.8,42,38.8 - 42.0,2020,Oct
By Age,40 - 49 years,2020-10-14,2020-10-26,35.1,33.4,36.8,33.4 - 36.8,2020,Oct
By Age,50 - 59 years,2020-10-14,2020-10-26,30.4,29,31.8,29.0 - 31.8,2020,Oct
By Age,60 - 69 years,2020-10-14,2020-10-26,26.5,25.2,27.8,25.2 - 27.8,2020,Oct
By Age,70 - 79 years,2020-10-14,2020-10-26,18.2,16.6,19.8,16.6 - 19.8,2020,Oct
By Age,80 years and above,2020-10-14,2020-10-26,17.2,12.8,22.3,12.8 - 22.3,2020,Oct
By Sex,Male,2020-10-14,2020-10-26,27.6,26.6,28.7,26.6 - 28.7,2020,Oct
By Sex,Female,2020-10-14,2020-10-26,37.6,36.9,38.4,36.9 - 38.4,2020,Oct
By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-14,2020-10-26,36,33.7,38.3,33.7 - 38.3,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-14,2020-10-26,31.8,31.1,32.5,31.1 - 32.5,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-14,2020-10-26,32.9,31,34.8,31.0 - 34.8,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-14,2020-10-26,29.2,26.4,32,26.4 - 32.0,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-14,2020-10-26,41.7,38,45.5,38.0 - 45.5,2020,Oct
By Education,Less than a high school diploma,2020-10-14,2020-10-26,37,32.1,42,32.1 - 42.0,2020,Oct
By Education,High school diploma or GED,2020-10-14,2020-10-26,31,29.3,32.6,29.3 - 32.6,2020,Oct
By Education,Some college/Associate's degree,2020-10-14,2020-10-26,36.4,35.3,37.6,35.3 - 37.6,2020,Oct
By Education,Bachelor's degree or higher,2020-10-14,2020-10-26,30.3,29.5,31,29.5 - 31.0,2020,Oct
National Estimate,United States,2020-10-14,2020-10-26,37.8,37.2,38.5,37.2 - 38.5,2020,Oct
By Age,18 - 29 years,2020-10-14,2020-10-26,52.1,49.8,54.4,49.8 - 54.4,2020,Oct
By Age,30 - 39 years,2020-10-14,2020-10-26,44.9,43.4,46.5,43.4 - 46.5,2020,Oct
By Age,40 - 49 years,2020-10-14,2020-10-26,39.7,38,41.3,38.0 - 41.3,2020,Oct
By Age,50 - 59 years,2020-10-14,2020-10-26,34.8,33.3,36.3,33.3 - 36.3,2020,Oct
By Age,60 - 69 years,2020-10-14,2020-10-26,30.7,29.1,32.3,29.1 - 32.3,2020,Oct
By Age,70 - 79 years,2020-10-14,2020-10-26,23.1,21.2,25,21.2 - 25.0,2020,Oct
By Age,80 years and above,2020-10-14,2020-10-26,19.3,14.7,24.7,14.7 - 24.7,2020,Oct
By Sex,Male,2020-10-14,2020-10-26,32.9,31.8,34,31.8 - 34.0,2020,Oct
By Sex,Female,2020-10-14,2020-10-26,42.4,41.6,43.2,41.6 - 43.2,2020,Oct
By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-14,2020-10-26,42.2,39.8,44.6,39.8 - 44.6,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-14,2020-10-26,36.1,35.3,36.8,35.3 - 36.8,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-14,2020-10-26,39.8,37.6,42.1,37.6 - 42.1,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-14,2020-10-26,34.3,31.4,37.2,31.4 - 37.2,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-14,2020-10-26,48.3,45.1,51.4,45.1 - 51.4,2020,Oct
By Education,Less than a high school diploma,2020-10-14,2020-10-26,42.3,37.3,47.5,37.3 - 47.5,2020,Oct
By Education,High school diploma or GED,2020-10-14,2020-10-26,37.1,35.5,38.9,35.5 - 38.9,2020,Oct
By Education,Some college/Associate's degree,2020-10-14,2020-10-26,41.9,40.6,43.2,40.6 - 43.2,2020,Oct
By Education,Bachelor's degree or higher,2020-10-14,2020-10-26,33.7,32.9,34.4,32.9 - 34.4,2020,Oct
National Estimate,United States,2020-10-28,2020-11-09,27.7,26.7,28.7,26.7 - 28.7,2020,Oct
By Age,18 - 29 years,2020-10-28,2020-11-09,43.4,40.2,46.6,40.2 - 46.6,2020,Oct
By Age,30 - 39 years,2020-10-28,2020-11-09,33.5,31.3,35.7,31.3 - 35.7,2020,Oct
By Age,40 - 49 years,2020-10-28,2020-11-09,27.4,25.5,29.3,25.5 - 29.3,2020,Oct
By Age,50 - 59 years,2020-10-28,2020-11-09,25.5,23.8,27.4,23.8 - 27.4,2020,Oct
By Age,60 - 69 years,2020-10-28,2020-11-09,20.5,18.8,22.4,18.8 - 22.4,2020,Oct
By Age,70 - 79 years,2020-10-28,2020-11-09,16.4,14.5,18.5,14.5 - 18.5,2020,Oct
By Age,80 years and above,2020-10-28,2020-11-09,12.6,8.8,17.3,8.8 - 17.3,2020,Oct
By Sex,Male,2020-10-28,2020-11-09,25.4,24,26.9,24.0 - 26.9,2020,Oct
By Sex,Female,2020-10-28,2020-11-09,29.7,28.6,30.9,28.6 - 30.9,2020,Oct
By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-28,2020-11-09,33.5,30.7,36.4,30.7 - 36.4,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-28,2020-11-09,25.4,24.5,26.2,24.5 - 26.2,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-28,2020-11-09,34,31,37.1,31.0 - 37.1,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-28,2020-11-09,21.8,18.7,25.2,18.7 - 25.2,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-28,2020-11-09,33.4,29.7,37.2,29.7 - 37.2,2020,Oct
By Education,Less than a high school diploma,2020-10-28,2020-11-09,34.8,29.3,40.5,29.3 - 40.5,2020,Oct
By Education,High school diploma or GED,2020-10-28,2020-11-09,30.6,28.5,32.8,28.5 - 32.8,2020,Oct
By Education,Some college/Associate's degree,2020-10-28,2020-11-09,31.3,30,32.6,30.0 - 32.6,2020,Oct
By Education,Bachelor's degree or higher,2020-10-28,2020-11-09,20.2,19.5,21,19.5 - 21.0,2020,Oct
National Estimate,United States,2020-10-28,2020-11-09,36.3,35.6,37.1,35.6 - 37.1,2020,Oct
By Age,18 - 29 years,2020-10-28,2020-11-09,51.7,48.8,54.6,48.8 - 54.6,2020,Oct
By Age,30 - 39 years,2020-10-28,2020-11-09,43.1,41,45.3,41.0 - 45.3,2020,Oct
By Age,40 - 49 years,2020-10-28,2020-11-09,38.9,37.2,40.7,37.2 - 40.7,2020,Oct
By Age,50 - 59 years,2020-10-28,2020-11-09,34.1,32.1,36.2,32.1 - 36.2,2020,Oct
By Age,60 - 69 years,2020-10-28,2020-11-09,28.7,26.9,30.4,26.9 - 30.4,2020,Oct
By Age,70 - 79 years,2020-10-28,2020-11-09,21.3,19.5,23.3,19.5 - 23.3,2020,Oct
By Age,80 years and above,2020-10-28,2020-11-09,15.4,11.7,19.7,11.7 - 19.7,2020,Oct
By Sex,Male,2020-10-28,2020-11-09,30.3,29.1,31.7,29.1 - 31.7,2020,Oct
By Sex,Female,2020-10-28,2020-11-09,41.8,40.6,43,40.6 - 43.0,2020,Oct
By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-28,2020-11-09,41.8,38.8,44.8,38.8 - 44.8,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-28,2020-11-09,35,34.2,35.7,34.2 - 35.7,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-28,2020-11-09,38.3,35.2,41.5,35.2 - 41.5,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-28,2020-11-09,27.7,24.5,31.1,24.5 - 31.1,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-28,2020-11-09,42.5,38.3,46.8,38.3 - 46.8,2020,Oct
By Education,Less than a high school diploma,2020-10-28,2020-11-09,36.2,30.9,41.7,30.9 - 41.7,2020,Oct
By Education,High school diploma or GED,2020-10-28,2020-11-09,35.3,33.6,37,33.6 - 37.0,2020,Oct
By Education,Some college/Associate's degree,2020-10-28,2020-11-09,39.3,37.9,40.7,37.9 - 40.7,2020,Oct
By Education,Bachelor's degree or higher,2020-10-28,2020-11-09,34.5,33.6,35.5,33.6 - 35.5,2020,Oct
National Estimate,United States,2020-10-28,2020-11-09,41.4,40.6,42.2,40.6 - 42.2,2020,Oct
By Age,18 - 29 years,2020-10-28,2020-11-09,58.7,55.8,61.5,55.8 - 61.5,2020,Oct
By Age,30 - 39 years,2020-10-28,2020-11-09,49.5,47.1,51.9,47.1 - 51.9,2020,Oct
By Age,40 - 49 years,2020-10-28,2020-11-09,42.6,40.9,44.4,40.9 - 44.4,2020,Oct
By Age,50 - 59 years,2020-10-28,2020-11-09,38.6,36.5,40.7,36.5 - 40.7,2020,Oct
By Age,60 - 69 years,2020-10-28,2020-11-09,32.9,31,34.8,31.0 - 34.8,2020,Oct
By Age,70 - 79 years,2020-10-28,2020-11-09,26.6,24.3,29,24.3 - 29.0,2020,Oct
By Age,80 years and above,2020-10-28,2020-11-09,18.4,14.6,22.7,14.6 - 22.7,2020,Oct
By Sex,Male,2020-10-28,2020-11-09,36.1,34.6,37.5,34.6 - 37.5,2020,Oct
By Sex,Female,2020-10-28,2020-11-09,46.2,44.9,47.5,44.9 - 47.5,2020,Oct
By Race/Hispanic ethnicity,Hispanic or Latino,2020-10-28,2020-11-09,48,45.4,50.7,45.4 - 50.7,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-10-28,2020-11-09,39.4,38.6,40.2,38.6 - 40.2,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-10-28,2020-11-09,45,41.9,48.2,41.9 - 48.2,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-10-28,2020-11-09,32.9,29,37.1,29.0 - 37.1,2020,Oct
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-10-28,2020-11-09,48.5,44.3,52.8,44.3 - 52.8,2020,Oct
By Education,Less than a high school diploma,2020-10-28,2020-11-09,43.7,37.9,49.5,37.9 - 49.5,2020,Oct
By Education,High school diploma or GED,2020-10-28,2020-11-09,42,40.2,43.8,40.2 - 43.8,2020,Oct
By Education,Some college/Associate's degree,2020-10-28,2020-11-09,44.6,43.3,45.9,43.3 - 45.9,2020,Oct
By Education,Bachelor's degree or higher,2020-10-28,2020-11-09,37.3,36.4,38.3,36.4 - 38.3,2020,Oct
National Estimate,United States,2020-11-11,2020-11-23,28.6,27.9,29.3,27.9 - 29.3,2020,Nov
By Age,18 - 29 years,2020-11-11,2020-11-23,43.4,40.9,45.9,40.9 - 45.9,2020,Nov
By Age,30 - 39 years,2020-11-11,2020-11-23,32.2,30.5,33.9,30.5 - 33.9,2020,Nov
By Age,40 - 49 years,2020-11-11,2020-11-23,29.9,28.4,31.4,28.4 - 31.4,2020,Nov
By Age,50 - 59 years,2020-11-11,2020-11-23,26.7,25.1,28.4,25.1 - 28.4,2020,Nov
By Age,60 - 69 years,2020-11-11,2020-11-23,21.5,20,23.1,20.0 - 23.1,2020,Nov
By Age,70 - 79 years,2020-11-11,2020-11-23,17.2,15.2,19.2,15.2 - 19.2,2020,Nov
By Age,80 years and above,2020-11-11,2020-11-23,18.2,13.7,23.5,13.7 - 23.5,2020,Nov
By Sex,Male,2020-11-11,2020-11-23,25.7,24.7,26.7,24.7 - 26.7,2020,Nov
By Sex,Female,2020-11-11,2020-11-23,31.3,30.3,32.3,30.3 - 32.3,2020,Nov
By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-11,2020-11-23,32.5,30.2,34.8,30.2 - 34.8,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-11,2020-11-23,27,26.2,27.8,26.2 - 27.8,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-11,2020-11-23,31.4,28.9,34.1,28.9 - 34.1,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-11,2020-11-23,23.2,20.4,26.2,20.4 - 26.2,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-11,2020-11-23,38.5,34.6,42.5,34.6 - 42.5,2020,Nov
By Education,Less than a high school diploma,2020-11-11,2020-11-23,37.7,32.8,42.9,32.8 - 42.9,2020,Nov
By Education,High school diploma or GED,2020-11-11,2020-11-23,30.3,28.7,32,28.7 - 32.0,2020,Nov
By Education,Some college/Associate's degree,2020-11-11,2020-11-23,32,30.7,33.3,30.7 - 33.3,2020,Nov
By Education,Bachelor's degree or higher,2020-11-11,2020-11-23,22,21.2,22.8,21.2 - 22.8,2020,Nov
National Estimate,United States,2020-11-11,2020-11-23,37.2,36.3,38.2,36.3 - 38.2,2020,Nov
By Age,18 - 29 years,2020-11-11,2020-11-23,48.7,46,51.4,46.0 - 51.4,2020,Nov
By Age,30 - 39 years,2020-11-11,2020-11-23,43.3,41.1,45.5,41.1 - 45.5,2020,Nov
By Age,40 - 49 years,2020-11-11,2020-11-23,41,39.3,42.8,39.3 - 42.8,2020,Nov
By Age,50 - 59 years,2020-11-11,2020-11-23,35.3,33.9,36.8,33.9 - 36.8,2020,Nov
By Age,60 - 69 years,2020-11-11,2020-11-23,30.2,28.5,32,28.5 - 32.0,2020,Nov
By Age,70 - 79 years,2020-11-11,2020-11-23,24.2,21.9,26.5,21.9 - 26.5,2020,Nov
By Age,80 years and above,2020-11-11,2020-11-23,17.9,13.7,22.8,13.7 - 22.8,2020,Nov
By Sex,Male,2020-11-11,2020-11-23,31.1,29.8,32.4,29.8 - 32.4,2020,Nov
By Sex,Female,2020-11-11,2020-11-23,42.9,41.9,43.9,41.9 - 43.9,2020,Nov
By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-11,2020-11-23,42.2,39.3,45,39.3 - 45.0,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-11,2020-11-23,36.2,35.2,37.2,35.2 - 37.2,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-11,2020-11-23,37.2,34,40.5,34.0 - 40.5,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-11,2020-11-23,26.8,23.6,30.1,23.6 - 30.1,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-11,2020-11-23,47.1,42.6,51.6,42.6 - 51.6,2020,Nov
By Education,Less than a high school diploma,2020-11-11,2020-11-23,43.1,37.8,48.5,37.8 - 48.5,2020,Nov
By Education,High school diploma or GED,2020-11-11,2020-11-23,36.7,34.4,39,34.4 - 39.0,2020,Nov
By Education,Some college/Associate's degree,2020-11-11,2020-11-23,40.2,38.9,41.6,38.9 - 41.6,2020,Nov
By Education,Bachelor's degree or higher,2020-11-11,2020-11-23,33.8,32.9,34.6,32.9 - 34.6,2020,Nov
National Estimate,United States,2020-11-11,2020-11-23,42.6,41.8,43.4,41.8 - 43.4,2020,Nov
By Age,18 - 29 years,2020-11-11,2020-11-23,58.1,55.4,60.7,55.4 - 60.7,2020,Nov
By Age,30 - 39 years,2020-11-11,2020-11-23,48.4,46.4,50.5,46.4 - 50.5,2020,Nov
By Age,40 - 49 years,2020-11-11,2020-11-23,45.6,43.8,47.4,43.8 - 47.4,2020,Nov
By Age,50 - 59 years,2020-11-11,2020-11-23,40.2,38.7,41.7,38.7 - 41.7,2020,Nov
By Age,60 - 69 years,2020-11-11,2020-11-23,34.2,32.4,36,32.4 - 36.0,2020,Nov
By Age,70 - 79 years,2020-11-11,2020-11-23,28.6,26.3,31,26.3 - 31.0,2020,Nov
By Age,80 years and above,2020-11-11,2020-11-23,24.1,19.4,29.3,19.4 - 29.3,2020,Nov
By Sex,Male,2020-11-11,2020-11-23,37.2,36,38.5,36.0 - 38.5,2020,Nov
By Sex,Female,2020-11-11,2020-11-23,47.6,46.5,48.6,46.5 - 48.6,2020,Nov
By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-11,2020-11-23,48.2,45.6,50.8,45.6 - 50.8,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-11,2020-11-23,41.2,40.3,42,40.3 - 42.0,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-11,2020-11-23,43.6,40.4,46.8,40.4 - 46.8,2020,Nov
